"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Tue","Wed","Thu","Fri","Sat","Sun","year","dayindex","temp","dewp","min","max","NUM_REPORTS"
"135",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,135,62.5,41.3,55.9,73.9,3
"136",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,136,77.8,62.1,69.8,89.6,2
"137",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,137,70,49.7,63,84,2
"138",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,138,66.6,46.6,55.4,78.8,1
"139",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,139,75.9,63.3,64.9,88,1
"140",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,140,81.1,67.3,73.4,87.8,3
"141",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,141,80,66.8,71.1,91,4
"142",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,142,81.9,63.7,71.6,89.6,6
"143",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,143,72.4,51.2,66,86,1
"144",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,144,71.8,51.2,64,79,4
"145",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,145,74.9,48.9,62.1,87.1,1
"146",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,146,78.7,52,66,89.1,1
"147",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,147,78.6,58.7,69.8,86,1
"148",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,148,80.1,65.2,75,87.1,5
"149",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,149,78.9,70.8,73,88,2
"150",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,150,80.9,71.5,73,90,5
"151",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,151,83.2,71.4,75,93.9,1
"152",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,152,84.3,72.4,78.8,91.4,2
"153",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,153,81.3,71.6,73.4,95,2
"154",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,154,79.9,71.5,73.4,93.2,8
"155",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,155,81,71.6,73,90,4
"156",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,156,74.7,68.1,68,86,3
"157",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,157,71.7,57,64.4,77,4
"158",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,158,73.9,61.3,66.2,80.6,3
"159",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,159,79.3,69.2,73.4,91.4,5
"160",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,160,79.2,70.2,71.6,89.6,1
"161",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,161,83.9,70.6,75.2,95,2
"162",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,162,80.2,72.3,73,89.1,3
