"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Tue","Wed","Thu","Fri","Sat","Sun","year","dayindex","temp","dewp","max","min","fog","NUM_REPORTS"
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2001,0.0162245686325006,0.716666666666667,0.635405690200211,0.735553379040157,0.673934588701685,0,0.795420974889217
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2001,0.0163533350502189,0.764705882352941,0.661749209694415,0.788442703232125,0.745292368681863,0,0.837518463810931
"129",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2001,0.0164821014679372,0.803921568627451,0.697576396206533,0.823702252693438,0.782953419226957,0,0.739290989660266
"130",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2001,0.0166108678856554,0.691176470588235,0.758693361433087,0.700293829578844,0.65609514370664,0,0.755539143279173
"131",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2001,0.0167396343033737,0.581372549019608,0.526870389884089,0.541625857002938,0.602576808721506,0,0.672082717872969
"132",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2001,0.0168684007210919,0.606862745098039,0.505795574288725,0.647404505386876,0.584737363726462,0,0.645494830132939
"133",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2001,0.0169971671388102,0.66078431372549,0.598524762908324,0.647404505386876,0.684836471754212,0,0.712703101920236
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2001,0.0171259335565285,0.811764705882353,0.799789251844046,0.872673849167483,0.763131813676908,0,0.801329394387001
"135",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2001,0.0172546999742467,0.856862745098039,0.856691253951528,0.85896180215475,0.870168483647175,0,0.772525849335303
"136",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2001,0.017383466391965,0.808823529411765,0.825079030558483,0.834476003917728,0.832507433102081,0,0.791728212703102
"137",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2001,0.0175122328096832,0.783333333333333,0.735511064278187,0.774730656219393,0.793855302279485,0,0.815361890694239
"138",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2001,0.0176409992274015,0.72843137254902,0.616438356164383,0.700293829578844,0.727452923686819,0,0.738552437223043
"139",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2001,0.0177697656451198,0.745098039215686,0.652265542676501,0.755142017629775,0.723488602576809,0,0.699409158050222
"140",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2001,0.017898532062838,0.759803921568627,0.806111696522655,0.715964740450539,0.793855302279485,0,0.813884785819793
"141",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2001,0.0180272984805563,0.642156862745098,0.631190727081138,0.594515181194907,0.65609514370664,0,0.695716395864106
